the_geom,NAME,ADDRESS,DIVISION,BASEBALL,OVERLAPPIN,E_SURFACE,E_LIGHTS,PMAID,LOCID,AMWO_ID,RES1,RES2
POINT (-122.31279496929272 47.672038572910225),Cowen Park,5849 15th Ave NE,North,1,N,Grass,No,483,,,,
POINT (-122.28435384474307 47.68561364506833),Decatur EL,7711 43rd Ave NE,SSD,2,Y,Grass,No,,,,,
POINT (-122.35349681556443 47.636140546290584),East Queen Anne Playground,1912 Warren Ave N,Central,1,N,Grass,No,329,,,,
POINT (-122.31463878544118 47.71625503063297),Pinehurst Playground,12029 14th Ave NE,North,1,N,Grass,No,382,,,,
POINT (-122.32766609679587 47.67947645167757),Green Lake Park,7201 E Green Lake Way,North,2,Y,Grass,No,307,,,,
POINT (-122.30177967026886 47.58807281670471),Colman Playground,1470 23rd Ave S,Central,1,Y,Grass,No,406,,,,
POINT (-122.31183873066477 47.56563595581315),Jefferson Park,3801 Beacon Ave S,South,1,Y,Synthetic,Yes,114,,,,
POINT (-122.31445351341694 47.67724475813883),Roosevelt HS,1410 NE 66th St,SSD,1,Y,Synthetic,No,,,,,
POINT (-122.28175685726475 47.54804160622209),Brighton Playfield,39th Ave W & S Juneau St,South,3,Y,Grass,Yes,402,,,,
POINT (-122.33754020334781 47.723876247090864),Ingraham HS,1819 N 135th St,SSD,2,Y,Synthetic,Yes,,,,,
POINT (-122.30579668813397 47.72433852593342),Olympic Hills EL,13018 20th Ave NE,SSD,3,Y,Grass,No,,,,,
POINT (-122.26408249374212 47.5004860387684),Rainier View EL,11650 Beacon Avenue S,SSD,1,N,Grass,No,,,,,
POINT (-122.31862700497733 47.625885476767046),Lowell EL,1058 E Mercer St,SSD,1,Y,Grass,No,,,,,
POINT (-122.32527867813123 47.64230054373221),Rogers Playgound,2516 Eastlake Ave E,Central,1,N,Grass,No,380,,,,
POINT (-122.29541428116494 47.576761033398434),Franklin HS,3013 S Mt Baker Blvd,SSD,1,Y,Synthetic,No,,,,,
POINT (-122.36936549790197 47.51803653761556),Roxhill Park,9244 29th Ave SW,South,2,Y,Grass,No,464,,,,
POINT (-122.41580285510723 47.575253208107114),Bar-S Playground,3298 SW Hinds St,South,2,N,Grass,No,3703,,,,
POINT (-122.3633302833834 47.66967282327353),West Woodland EL,5634 5th Ave NE,SSD,1,Y,Grass,,,,,,
POINT (-122.31888450112113 47.6642661879581),University Playground,NE 50th St & 9th Ave,North,1,Y,Grass,No,435,,,,
POINT (-122.3414025546818 47.66858318841825),"Woodland Park - Fields 3,4,5,6",550 Phiney Ave N,North,4,N,Grass,Yes,292,,,,
POINT (-122.32573176144165 47.720523014732414),Northacres Park,12530 3rd Ave NE,North,2,Y,Grass,No,361,,,,
POINT (-122.390988989834 47.67278239634817),Ballard Playground,6020 28th Ave NW,North,2,Y,Grass,Yes,497,,,,
POINT (-122.30137878055585 47.66874892329171),Ravenna Park,20th Ave NE & NE 58th St,North,1,Y,Grass,No,391,,,,
POINT (-122.387184034556 47.643301678510795),Bay View Playground,2614 24th Ave W,Central,1,Y,Grass,No,303,,,,
POINT (-122.39145329575997 47.65644724175298),Lawton Park,400 Williams Ave W,Central,1,N,Grass,No,316,,,,
POINT (-122.28477125248753 47.705244171052726),John Rogers EL,4030 NE 109th St,SSD,2,Y,Grass,No,,,,,
POINT (-122.38328772695803 47.68370940845796),Loyal Heights Playfield,2023 NW 77th St,North,2,Y,Synthetic,Yes,289,,,,
POINT (-122.36441583081347 47.562207575047914),Delridge Playfield,Delridge Way S & SW Genesee St,South,2,Y,Synthetic,Yes,450,,,,
POINT (-122.3406189105095 47.6676728582883),Woodland Park,550 Phiney Ave N,North,5,N,Synthetic and Grass,Yes,292,,,,
POINT (-122.3625238645957 47.705801332155566),Viewlands EL,10525 3rd Ave NW,SSD,1,N,Grass,,,,,,
POINT (-122.26008090693236 47.51399930351577),(Fred) Hutchinson Playground,5801 S Pilgrim,South,2,Y,Grass,No,439,,,,
POINT (-122.39401311044735 47.53375871084481),Lincoln Park,8603 Fauntleroy Way SW,South,3,Y,Grass,No,460,,,,
POINT (-122.31505872279375 47.600432562619666),Gatzert EL,1301 E Yesler Way,SSD,1,Y,Grass,No,,,,,
POINT (-122.30587625059496 47.62095426098744),(Pendleton) Miller Playfield,301 20th Ave E,Central,2,Y,Synthetic,Yes,373,,,,
POINT (-122.34988284466525 47.537350731441556),Riverview Playfield,7226 12 Ave SW,South,4,?,Grass,No,463,,,,
POINT (-122.29345154595929 47.70896175799827),Jane Addams,11051 34th Ave NE,SSD,5,Y,Synthetic,Yes,,,,,
POINT (-122.27324686585783 47.525454356051476),Rainier Beach Playfield,8825 Rainier Ave S,South,2,N,Grass,No,422,,,,
POINT (-122.27907408072248 47.68080095103301),View Ridge EL,7047 50th Ave NE,SSD,1,Y,Grass,No,,,,,
POINT (-122.29353617571498 47.706065706648474),Meadowbrook Playfield,30th Ave NE & NE 107th St,North,3,N,Grass,No,352,,,,
POINT (-122.37935281732732 47.6481376126298),Interbay Athletic Field,3027 17th Ave W,Central,2,Y,Grass,Yes,3887,,,,
POINT (-122.28117761204358 47.68086682569036),View Ridge Playfield,4400 NE 70th St,North,2,Y,Grass,No,444,,,,
POINT (-122.29942385237835 47.68469267314631),Dahl Playfield,7700 25th Ave NE,North,4,Y,Grass,Yes,499,,,,
POINT (-122.395966353484 47.56545990570884),Genesee Hill EL,5012 SW Genesee St,SSD,1,Y,Grass,No,,,,,
POINT (-122.39934029719872 47.646151947057),West Magnolia Playfield,2550 34th Ave W,Central,7,Y,Grass,Yes,319,,,,
POINT (-122.3414025897989 47.66597453254968),Woodland Park - Field 1,550 Phiney Ave N,North,1,N,Synthetic and Grass,Yes,292,,,,
POINT (-122.30925315518445 47.642061006199505),Montlake Playfield,1618 E Calhoun St,Central,1,Y,Grass,No,376,,,,
POINT (-122.37897168882049 47.69546165923529),Soundview Playfield,1590  NW 90th St,North,4,Y,Grass,No,251,,,,
POINT (-122.3039261195125 47.59350143298493),Judkins Park & Playfield,22 Ave S & S Charles St,Central,2,Y,Grass,No,397,,,,
POINT (-122.26820901887295 47.52542071596304),Rainier Beach HS,8815 Seward Park Ave S,SSD,2,Y,Synthetic,Yes,,,,,
POINT (-122.3676623700913 47.52645850812632),Denny MS / Sealth HS,8402 30th Ave SW,SSD,2,Y,Synthetic and Grass,Yes,,,,,
POINT (-122.31914014209347 47.615876049091774),Bobby Morris Playfield,1700 Negel Pl,Central,2,Y,Synthetic,Yes,3102,,,,
POINT (-122.37318893945535 47.67694878924146),Ballard HS,1418 NW 65th St,SSD,1,Y,Synthetic,No,,,,,
POINT (-122.34950119764721 47.72365015377412),Bitter Lake Playfield,13030 N Park Ave N,North,2,N,Grass,Yes,288,,,,
POINT (-122.38688789036641 47.695896138913625),North Beach EL,9018 24th Ave NW,SSD,1,Y,Grass,No,,,,,
POINT (-122.29383549738175 47.53941819304195),Van Asselt Playground,2820 S Myrtle St,South,2,Y,Grass,No,431,,,,
POINT (-122.32112202685079 47.5512935457871),Georgetown Playfield,750 S Homer St,South,2,Y,Synthetic,Yes,410,,,,
POINT (-122.3153637552873 47.58582118941408),Beacon Hill Playground,1902 13th Ave S,South,1,N,Grass,No,400,,,,
POINT (-122.25481709945596 47.68187591191775),Magnuson Park,6500 Sandpoint Way NE,North,6,Y,Synthetic and Grass,Yes,398,,,,
POINT (-122.40733168734344 47.578064991170265),Alki Playground,58th Ave SW & SW Lander St,South,1,Y,Grass,No,446,,,,
POINT (-122.3808709708248 47.553805838917484),Fairmount Playground,5400 Fauntleroy Way SW,South,1,Y,Grass,No,452,,,,
POINT (-122.33709269576812 47.69516609293817),Wilson Pacific MS,1330 N 90th St,SSD,1,Y,Grass,No,,,,,
POINT (-122.28625650263855 47.56155311904104),Rainier Playfield,3701 S Oregon St,South,3,Y,Grass,Yes,423,,,,
POINT (-122.34927332120355 47.656398089506894),B.F. Day Playground,4020 Freemont Ave N,North,1,Y,Grass,No,241,,,,
POINT (-122.32382976392303 47.5278187158688),South Park Playground,8319 8th Ave S,South,2,Y,Grass,No,467,,,,
POINT (-122.34862249202064 47.52749771851121),Highland Park Playground,1100 SW Cloverdale,South,2,Y,Grass,No,457,,,,
POINT (-122.3613844083603 47.65933901113816),Ross Playground,325 NW 44th St,North,2,N,Grass,No,248,,,,
POINT (-122.33054126607261 47.71548289925663),Northgate EL,11725 1st Ave NE,SSD,4,Y,Grass,No,,,,,
