the_geom,PMAID,GIS_AREA,GIS_LENGTH,GIS_EDT_DT,SPORTCOURT,NAME,SPORT_TYPE,COURT_ID,FACILITY_I,FACILITY_N,COURT_SIZE,RESERVED_1,RESERVED_2,RESERVED_3,LOCATION_I,SHAPE_AREA,SHAPE_LEN
"MULTIPOLYGON (((-122.35340465983788 47.636373918096744, -122.35342084729658 47.636373961045145, -122.35343093351096 47.636373498447014, -122.35344098710056 47.63637421549913, -122.3534507083089 47.63637609082195, -122.35345980728975 47.636379068501085, -122.35346801274898 47.6363830597545, -122.35347508003342 47.63638794557945, -122.35348079842545 47.636393580300776, -122.35348499742562 47.63639979591427, -122.35348755183641 47.636406407095805, -122.35348838549515 47.63641321672701, -122.35348747354482 47.636420021772416, -122.35348484317541 47.636426619333264, -122.35348057281321 47.63643281269708, -122.35347478978264 47.63643841720276, -122.35346766650983 47.63644326574658, -122.3534594153818 47.63644721376446, -122.35345028241379 47.6364501435424, -122.35344053991416 47.636451967726174, -122.35343047836508 47.63645263192589, -122.35342039776171 47.636452116337836, -122.35340420894812 47.63645207340717, -122.35340465983788 47.636373918096744)))",329,506.3825886,86.40105807,04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Half,,,,,0,0
"MULTIPOLYGON (((-122.28771818543574 47.726103520959654, -122.28772115228972 47.72604665669303, -122.28786575091902 47.726050091342245, -122.28786278422318 47.72610695561266, -122.28786027316274 47.72615509880802, -122.28771567426655 47.726151665051155, -122.28771818543574 47.726103520959654)))",4167,1364.84978922,147.87534015,06/10/2015 12:00:00 AM +0000,0,,Basketball,,,,Half,,,,,0,0
"MULTIPOLYGON (((-122.25749627586283 47.681678790723254, -122.25775279564621 47.681675479927755, -122.25775983766212 47.681812438893516, -122.25770662477902 47.681813125682496, -122.25764498386248 47.68181392139514, -122.25759408805506 47.68181457826863, -122.25752854803389 47.68181542355461, -122.25750300159774 47.681815753649474, -122.25749751473869 47.681704016807196, -122.25749627586283 47.681678790723254)))",398,3160.80015801,226.45210436,04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Full,,,,,0,0
"MULTIPOLYGON (((-122.30315141001708 47.59145211043234, -122.30319857771491 47.591305743899035, -122.3035276101139 47.59135426668694, -122.30348044329719 47.59150063335661, -122.30315141001708 47.59145211043234)))",397S,4540.75810526,275.48224741,04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Full,,,,,0,0
"MULTIPOLYGON (((-122.28293561137608 47.54722653952174, -122.28316062531566 47.547223290531846, -122.28316451766295 47.54746743119539, -122.28293948060931 47.54746907559264, -122.28293561137608 47.54722653952174)))",402,4933.64950203,288.69578061,04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Full,,,,,0,0
"MULTIPOLYGON (((-122.39745089902358 47.677638101898104, -122.39745091471352 47.67762959486709, -122.39745151073524 47.6776202782325, -122.39745443471435 47.6776111643895, -122.39745960215467 47.677602516703175, -122.39746686373033 47.67759458506782, -122.39747600960104 47.67758759868571, -122.39748677547585 47.677581759443875, -122.39749885025061 47.677577236080054, -122.39751188499784 47.67757415930683, -122.39752550304983 47.67757261803426, -122.39753931088318 47.67757265680082, -122.39755290949026 47.67757427448626, -122.39756590590959 47.677577424344, -122.39757792458101 47.67758201535203, -122.39758861819828 47.67758791484306, -122.39759767774522 47.67759495233829, -122.39760484142542 47.67760292447365, -122.39760990222747 47.67761160087657, -122.39761271390707 47.67762073082287, -122.39761319521313 47.67763005048216, -122.39761308243698 47.677638738770725, -122.39745089902358 47.677638101898104)))",3894,791.18230589,110.93434066,04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Half,,,,,0,0
"MULTIPOLYGON (((-122.32375103906858 47.71031890495611, -122.32359920378586 47.710204574807904, -122.32377751222892 47.71009670250493, -122.32392934758884 47.71021103241633, -122.32375103906858 47.71031890495611)))",4456,3301.61089255,229.91370256,04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Half,,,,,0,0
"MULTIPOLYGON (((-122.30315141001708 47.59145211043234, -122.30348044329719 47.59150063335661, -122.30343338993946 47.59164664769192, -122.30310435578039 47.591598124631716, -122.30315141001708 47.59145211043234)))",397S,4529.82736501,275.21916713,04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Full,,,,,0,0
"MULTIPOLYGON (((-122.30173780189477 47.62284479686935, -122.30175090598092 47.62298112869514, -122.3017501209554 47.62298645726178, -122.30173201168567 47.622984911664375, -122.3017145679479 47.62298127794762, -122.30169831239047 47.62297566498481, -122.30168373206119 47.62296824095124, -122.30167126381423 47.62295922828541, -122.30166128122116 47.62294889702414, -122.30165408337798 47.62293755671181, -122.30164988594387 47.622925547125604, -122.30164881467965 47.62291322809526, -122.30165090168022 47.62290096872172, -122.30165608441303 47.622889136318314, -122.30166420759194 47.62287808540523, -122.30167502783021 47.622868147087665, -122.30168822093289 47.62285961913519, -122.30170339161036 47.62285275706029, -122.30172008532195 47.6228477664627, -122.30173780189477 47.62284479686935)))",357,938.56669923,128.40549149,04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Half,,,,,0,0
"MULTIPOLYGON (((-122.3688691094307 47.66701743847004, -122.36893676102332 47.66704583052463, -122.36900060360855 47.66707799653223, -122.3690017990324 47.667078655127334, -122.36899502078542 47.66707783419224, -122.36898813494561 47.667077778433644, -122.36898132951342 47.667078489373914, -122.368974790294 47.6670799476026, -122.36896869582439 47.66708211330643, -122.36896071045437 47.66708633343704, -122.36895177672969 47.66708957197471, -122.36894215632658 47.667091734059916, -122.36893213103473 47.66709275636338, -122.36892199450348 47.66709260894094, -122.36891204364046 47.66709129611074, -122.36890256991495 47.66708885632668, -122.36889385082029 47.66708536105212, -122.36888614174596 47.6670809126666, -122.36887966849692 47.66707564146704, -122.36887462067959 47.66706970185127, -122.36887114614818 47.66706326779547, -122.36886934667395 47.6670565277584, -122.36886927496423 47.66704967916107, -122.36887093311883 47.66704292260434, -122.36887427256842 47.66703645599295, -122.36887502637464 47.66703246268542, -122.368874815438 47.66702843956717, -122.36887364529815 47.66702449228826, -122.368871546684 47.66702072450709, -122.36886857470684 47.66701723516834, -122.3688691094307 47.66701743847004)))",242,446.89485729,95.65576907,04/01/2015 12:00:00 AM +0000,0,,Basketball,,,,Half,,,,,0,0
