Longitude,Latitude,hour,month,weekday,park
-122.343702997,47.612886564,20,5,0,91
-122.314917143,47.526016478,23,5,0,18
-122.287747579,47.640106202,23,5,0,75
-122.383928626,47.668677585,3,5,1,64
-122.381494633,47.666133717,1,5,1,67
-122.306292245,47.691644783,1,5,1,57
-122.330785387,47.544041418,3,5,1,25
-122.37545939,47.691523902,4,5,1,47
-122.311445487,47.617612323,11,5,1,130
-122.320749979,47.606340772,11,5,1,116
-122.347273841,47.677783787,14,5,1,71
-122.331082201,47.602412413,16,5,1,103
-122.345096094,47.547369191,19,5,1,27
-122.342792864,47.73521256,16,5,1,17
-122.307240349,47.683046841,19,5,1,68
-122.322398651,47.608017972,20,5,1,118
-122.352642288,47.631654329,23,5,1,90
-122.342142948,47.713405311,22,5,1,30
-122.386412739,47.548482082,22,5,1,50
-122.270515711,47.518268094,1,5,2,27
-122.322446695,47.586152968,5,5,2,97
-122.324583879,47.609570173,12,5,2,113
-122.297915327,47.620185686,11,5,2,117
-122.307240349,47.683046841,11,5,2,68
-122.356919303,47.638989178,15,5,2,75
-122.325552282,47.617040615,14,5,2,114
-122.344624169,47.699166567,14,5,2,38
-122.336028117,47.520426644,17,5,2,16
-122.315677098,47.624802526,16,5,2,124
-122.340016516,47.608819661,17,5,2,98
-122.284051719,47.537040149,0,5,3,45
-122.344896103,47.717174471,23,5,2,24
-122.385457779,47.561100471,23,5,2,51
-122.295746346,47.572311631,23,5,2,94
-122.27824499,47.650847326,20,5,2,47
-122.355293423,47.618534826,22,5,2,74
-122.309118314,47.65130139,23,5,2,101
-122.33452433,47.702331628,22,5,2,44
-122.347606813,47.62022747,23,5,2,94
-122.332777573,47.607622885,1,5,3,106
-122.375069766,47.545634071,1,5,3,46
-122.384135866,47.561984981,1,5,3,51
-122.331478061,47.652536523,4,5,3,116
-122.31433949,47.6211201,6,5,3,126
-122.355323253,47.692417638,11,5,3,47
-122.333430341,47.608336031,19,5,2,104
-122.316510557,47.548865397,12,5,3,45
-122.337016951,47.613622216,12,5,3,105
-122.323443932,47.604128073,16,5,3,116
-122.325658434,47.688263707,17,5,3,62
-122.29040191,47.680323855,18,5,3,48
-122.353976104,47.521942515,17,5,3,24
-122.321359122,47.603520333,23,5,3,114
-122.334110824,47.609917625,23,5,3,105
-122.331124149,47.601717571,21,5,3,102
-122.318224863,47.467179311,21,5,3,0
-122.366323829,47.53370528,21,5,3,36
-122.33896434,47.614775782,21,5,3,105
-122.317406863,47.710589817,23,5,3,45
-122.307625254,47.608021031,22,5,3,132
-122.336490378,47.534049688,1,5,4,19
-122.333726667,47.602787363,2,5,4,96
-122.310781119,47.68394924,7,5,4,65
-122.319414423,47.605705157,12,5,4,121
-122.344526226,47.690924886,8,5,4,51
-122.262042596,47.514265427,15,5,4,22
-122.307664516,47.599246144,13,5,4,126
-122.320511775,47.52518227,13,5,4,17
-122.335909925,47.60046538,13,5,4,95
-122.300646476,47.703409248,18,5,4,45
-122.375069766,47.545634071,17,5,4,46
-122.310268648,47.600422451,19,5,4,128
-122.376135818,47.63538762,19,5,4,66
-122.261154306,47.510579442,19,5,4,19
-122.35514696,47.519195305,0,5,5,24
-122.318309677,47.54767994,21,5,4,41
-122.37076651,47.568425376,21,5,4,37
-122.343695612,47.72955825,20,5,4,18
-122.321735001,47.599184602,0,5,5,110
-122.331082201,47.602412413,3,5,5,103
-122.329058179,47.576649911,4,5,5,79
-122.285957942,47.5269976,2,5,5,39
-122.312744669,47.618519494,4,5,5,130
-122.384447735,47.704189956,4,5,5,31
-122.318224863,47.467179311,9,5,5,0
-122.35483058,47.549258383,9,5,5,26
-122.328661831,47.611510413,14,5,5,115
-122.347420353,47.615084921,13,5,5,90
-122.353942896,47.652125425,13,5,5,82
-122.269989578,47.530965617,13,5,5,34
-122.311476521,47.61222607,18,5,5,130
-122.31087648,47.676691716,18,5,5,72
-122.328661831,47.611510413,18,5,5,115
-122.328661831,47.611510413,17,5,5,115
-122.310781119,47.68394924,18,5,5,65
-122.33452433,47.702331628,20,5,5,44
-122.392693908,47.53180135,21,5,5,36
-122.290299185,47.676691474,21,5,5,50
-122.344567659,47.694184038,22,5,5,46
-122.372524515,47.546764215,1,5,6,44
-122.321897844,47.661326156,3,5,6,94
-122.279839548,47.535212803,3,5,6,38
-122.375069766,47.545634071,1,5,6,46
-122.38719894,47.546680919,2,5,6,50
-122.311390477,47.620087927,5,5,6,133
-122.380021119,47.693202061,7,5,6,41
-122.37545939,47.691523902,8,5,6,47
-122.344143641,47.614320348,11,5,6,92
-122.31816885,47.615838399,12,5,6,120
-122.297915327,47.620185686,12,5,6,117
-122.331721958,47.623695813,12,5,6,111
-122.367311994,47.521027576,14,5,6,36
-122.286182779,47.539765268,16,5,6,45
-122.336165513,47.616053298,13,5,6,107
-122.332777573,47.607622885,16,5,6,106
-122.327359482,47.613437354,16,5,6,113
-122.280752944,47.564685784,17,5,6,66
-122.289921959,47.568881155,18,5,6,83
-122.329670742,47.611774826,16,5,6,113
-122.337338756,47.60925298,18,5,6,100
-122.34024218,47.612013582,20,5,6,104
-122.379156757,47.543911991,20,5,6,46
-122.379488211,47.517020932,0,5,0,32
-122.336165513,47.616053298,21,5,6,107
-122.326153104,47.607927482,21,5,6,109
-122.331735384,47.603126534,22,5,6,103
-122.315452357,47.609219053,23,5,6,123
-122.272525628,47.670571265,22,5,6,25
-122.331082201,47.602412413,22,5,6,103
-122.376806335,47.690606885,4,5,0,45
-122.370818391,47.543207016,1,5,0,43
-122.370818391,47.543207016,2,5,0,43
-122.358956038,47.653705506,10,5,0,75
-122.269989672,47.529127931,12,5,0,32
-122.342146596,47.732310764,8,5,0,18
-122.356514063,47.517359016,10,5,0,24
-122.329977175,47.599198312,13,5,0,100
-122.356642697,47.690601245,14,5,0,47
-122.288037122,47.533740274,13,5,0,41
-122.353204348,47.634010728,14,5,0,90
-122.34859041,47.661762412,12,5,0,87
-122.310268648,47.600422451,17,5,0,128
-122.305984916,47.624820137,19,5,0,132
-122.376466624,47.543772211,19,5,0,46
-122.342146596,47.732310764,20,5,0,18
-122.311445487,47.617612323,18,5,0,130
-122.370818391,47.543207016,19,5,0,43
-122.342146596,47.732310764,23,5,0,18
-122.317567256,47.601443965,23,5,0,121
