the_geom,POINT_X,POINT_Y,NAME,GIS_EDT_DT,LATITUDE,LONGITUDE,PMAID,LOCID,AMWO_ID,RES1,RES2
POINT (-122.27699730403388 47.57150255636479),1284068.00002138,211809.45314689,Stan Sayres Memorial Park,11/30/1899 12:00:00 AM +0000,47.57150256,-122.2769973,,,,,
POINT (-122.28724161161333 47.5831652832067),1281619.99999614,216110.45307507,Mt Baker Park,11/30/1899 12:00:00 AM +0000,47.58316528,-122.28724161,419,,,,
POINT (-122.40371535128897 47.68722638496396),1253654.87515222,254625.23431306,Eddie Vine Boat Ramp Pier,11/30/1899 12:00:00 AM +0000,47.68722638,-122.40371535,243,,,,
POINT (-122.38034198828429 47.58952560984479),1258694.24991597,218877.96886547,Seacrest Marina,11/30/1899 12:00:00 AM +0000,47.58952561,-122.38034199,455,,,,
POINT (-122.28351418468924 47.57896443647369),1282510.8748548,214561.04705314,Lake Washington Blvd & S McClelland,11/30/1899 12:00:00 AM +0000,47.57896444,-122.28351418,412,,,,
POINT (-122.34176472273644 47.607092806080196),1268337.4999864,225095.67165314,Piers 57-61,11/30/1899 12:00:00 AM +0000,47.60709281,-122.34176472,3973,,,,
POINT (-122.3412743449539 47.680487967612954),1268983.00000772,251860.18767782,W Green Lake Drive & Stone N,11/30/1899 12:00:00 AM +0000,47.68048797,-122.34127434,307,,,,
POINT (-122.34172483679792 47.671756197651185),1268809.62502639,248677.92173265,W Green Lake Way N,11/30/1899 12:00:00 AM +0000,47.6717562,-122.34172484,307,,,,
POINT (-122.34425351953172 47.608621664140884),1267734.62487981,225665.28140631,Piers 62-63,11/30/1899 12:00:00 AM +0000,47.60862166,-122.34425352,274,,,,
POINT (-122.28312483481022 47.60591219600108),1282792.12494847,224387.09367397,Lake Washington Blvd S & E Jefferson,11/30/1899 12:00:00 AM +0000,47.6059122,-122.28312483,370,,,,
POINT (-122.25530102806519 47.56082838360438),1289350.8749543,207816.84367806,Rev. U.G. Murphy Fishing Pier,11/30/1899 12:00:00 AM +0000,47.56082838,-122.25530103,428,,,,
POINT (-122.32902153597104 47.68151619577911),1272008.0001913,252176.28120573,E Green Lake & Latona NE,11/30/1899 12:00:00 AM +0000,47.6815162,-122.32902154,307,,,,
