OBJECTID,BUSLIC_LOCATION_ID,DEA_FACILITY_ADDRESS,DEA_STALLS,FAC_NAME,HRS_MONFRI,HRS_SAT,HRS_SUN,FAC_TYPE,RTE_1HR,RTE_2HR,RTE_3HR,RTE_ALLDAY,DISABLED,OP_NAME,OP_PHONE,OP_PHONE2,OP_WEB,PAYMENT_TYPE,OTHER,WEBNAME,REGIONID,OUTOFSERV,VACANT,STATUS,DATETIME,SHAPE,SIGNID
4834,513317,"801 E THOMAS ST, SEATTLE, WA   98102",27,,24 hours,24 hours,24 hours,SURFACE LOT,4,4,,6,,,,,,,N,KEY PARK NORTHWEST,0,,,,,"(47.620906614000035, -122.32184535099998)",
4835,646189,"200 TAYLOR AV N, SEATTLE, WA   98109",102,,,,,,,,,,,,,,,,N,IMPARK,0,,,,,"(47.620364651000045, -122.34587721399998)",
4836,633166,"120 WESTLAKE AV N, SEATTLE, WA   98109",19,Rollin Street,Self park location,Self park location,Self park location,GARAGE,1,3,,15,,Standard,(206) 381-8552,,http://www.standardparkingnw.com/locations/lot.asp?id=170,Cash,N,ROLLIN ST LOT,0,,,,,"(47.61920815500008, -122.33806892199999)",
4837,533688,"1000 OCCIDENTAL AV S, SEATTLE, WA   98104",2050,Stadium Exhibition Center Garage,,,,GARAGE,,,,,26,I P M,206-254-0811,,http://www.ipmseattle.com/locations/lot.asp?id=463,,N,STADIUM/EXHIBITION CENTER GARAGE,0,,,,,"(47.59321394300008, -122.33203579699995)",
4838,609170,"1018 E SENECA ST, SEATTLE, WA   98122",19,,,,,,,,,,,,,,,,N,DIAMOND,0,,,,,"(47.612372780000044, -122.31846615599994)",
4839,17646,"214 5TH AV S, SEATTLE, WA   98104",36,Merchants Parking,,,,SURFACE LOT,,,,,,Merchants Parking/Transia,,,,,N,AMAZON PHASE 1B #81866,0,,,,,"(47.600396217000025, -122.32740889099995)",
4840,644072,"809 OLIVE WY, SEATTLE, WA   98101",44,,,,,,,,,,,,,,,,N,UNITED,0,,,,,"(47.61396870400006, -122.33351371899994)",
4841,12214,"200 2ND AV N, SEATTLE, WA   98109",169,,,,,SURFACE LOT,,,,,1,AMPCO,,,,,N,AMPCO,0,,,,,"(47.61973921500004, -122.35110451899999)",
4842,645767,"901 8TH AV, SEATTLE, WA   98104",8,,,,,,,,,,,,,,,,N,DIAMOND,0,,,,,"(47.60727702400004, -122.32808141599997)",
4843,645733,"901 DEXTER AV N, SEATTLE, WA   98109",43,,,,,,,,,,,,,,,,N,DIAMOND,0,,,,,"(47.62736018600003, -122.34263809199996)",
4844,595104,"1416 2ND AV, SEATTLE, WA   98101",53,,,,,,,,,,,,,,,,N,DIAMOND,0,,,,,"(47.60875574600004, -122.33794619499997)",
4845,646190,"910 8TH AV, SEATTLE, WA 98104",210,,,,,,,,,,,,,,,,N,IMPARK,0,,,,,"(47.60753781400007, -122.32788618899997)",
4846,17652,"624 S DEARBORN ST, SEATTLE, WA   98104",10,,,,,,,,,,,,,,,,N,MERCHANTS PARKING ASSOC,0,,,,,"(47.59620428200003, -122.32548348399996)",
4847,625102,"401 QUEEN ANNE AV N, SEATTLE, WA   98109",27,,,,,SURFACE LOT,,,,,,Diamond,,,http://diamondparking.com/locations/washington.aspx,,N,DIAMOND,0,,,,,"(47.622350535000066, -122.35715898799998)",
4848,530468,"1918 3RD AV, SEATTLE, WA   98101",312,,6:30am-11pm,8am-1am,9am-8pm,,6,8,,25,,,,,,,N,IMPARK,0,,,,,"(47.612294863000045, -122.33903353)",
5121,564866,"1730 MINOR AV, SEATTLE, WA   98101",287,,7am to 7pm,CLOSED,CLOSED,GARAGE,11.75,13.75,,21.75,6,REPUBLIC,,,http://www.rpnw.com/seattle/locations/default.asp,,N,REPUBLIC,0,,,,,"(47.61695063600007, -122.32965184199998)",
5122,618375,"999 3RD AV, SEATTLE, WA 98104",680,,,,,,,,,,,,,,,,N,999 THIRD AVENUE,0,,,,,"(47.60504616800006, -122.33427314599999)",
