OBJECTID,Shape,NAME,ADDRESS,PHONE,WEBSITE,GRADE,CITY,ZIP
1,"(47.51042025500004, -122.26276562799995)",St. Paul School,10001 57th Ave S,206.725.0780,www.seattlestpaul.org,P-8,Seattle,98178_2299
2,"(47.61118419300004, -122.28800275799995)",St. Therese Catholic Academy ,900 35th Ave,206.324.0460,www.stthereseseattle.org,P-8,Seattle,98122_5299
3,"(47.671198606000075, -122.37568393199996)",St. Alphonsus School,5816 15th Ave NW,206.782.4363,http://www.stalseattle.org/,P-8,Seattle,98107_3096
4,"(47.62547818300004, -122.30827667399996)",St. Joseph School,700 18th Ave E,206.329.3260,www.stjosephsea.org,K-8,Seattle,98112_3900
5,"(47.55063310300005, -122.27991364999997)",St. Edwards School,4200 S Mead St,206.725.1774,www.saintedwardseattle.org,P-8,Seattle,98118_2795
6,"(47.51697570700003, -122.35946395399998)",Holy Family School,9615 20th Ave SW,206.767.6640,www.hfseattle.org/school,P-8,Seattle,98106_2786
7,"(47.51087089100008, -122.25975656099996)",Amazing Grace Christian School,10056 Renton Ave S,206.723.5526,www.agcschool.org,K-9,Seattle,98178_2255
8,"(47.609618357000045, -122.308640992)",Lake WA Girls Middle School,810 18th Ave,206.709.3800,www.lwgms.org,6-8,Seattle,98122_4747
9,"(47.53826769700004, -122.28405606099994)",Seattle Urban Academy,3800 S Othello St,206.723.0333,www.seattleurbanacademy.org,9-12,Seattle,98118_3562
10,"(47.69050261900003, -122.31319531099996)",MMSC Day School,8511 15th Avenue NE,206.523.9766,www.mmscdayschool.org,P-6,Seattle,98115_3101
11,"(47.68085752800005, -122.32512336599996)",Billings Middle School,7217 Woodlawn Ave NE,206.547.4614,www.billingsmiddleschool.org,6-8,Seattle,98115_5335
12,"(47.677248150000025, -122.32231534799996)",Seattle Area German American School,520 NE Ravenna Blvd,206.235.5969,www.sagaschool.org,P-3,Seattle,98115_6460
13,"(47.52065571900005, -122.339114113)",Sound View Education ,9205 3rd Ave Sw,206.214.1011,sterlinged.org,3-12,Seattle,98106_3106
14,"(47.58880002400008, -122.29647558499994)",Seattle Nativity School,2800 S Massachusetts St,206.384.2126,www.seattlenativity.org,5-8,Seattle,98144_3870
15,"(47.61996669400003, -122.33885846399994)",Morningside Academy,201 Westlake Ave N,206.709.9500,www.morningsideacademy.org,1-10,Seattle,98109_5217
16,"(47.67745644100006, -122.38474299599994)",Matheia School,2205 NW 67th St,206.283.1828,www.matheia.org,K-5,Seattle,98117_5737
17,"(47.56614859200005, -122.38719025499995)",Tilden School,4105 California Ave SW,206.938.4628,www.tildenschool.org,K-5,Seattle,98116_4101
18,"(47.596919265000054, -122.30601201299999)",Giddens School,620 20th Ave S,206.324.4847,www.giddensschool.org,P-5,Seattle,98144_2209
19,"(47.664760381000065, -122.35247907899998)",Kapka Cooperative School,510 N 49th St,206.522.0350,www.kapkaschool.org,K-3,Seattle,98103_6420
20,"(47.574986531000036, -122.28536135499996)",The Lake and Park School,3201 Hunter Blvd S,206.721.3480,www.lakeandpark.org,K-4,Seattle,98144_7029
21,"(47.69353537300003, -122.28935521999995)",Our Lady Of The Lake School,3520 NE 89th St,206.525.9980,www.ollseattle.org,P-8,Seattle,98115_3648
22,"(47.66410110100003, -122.33117847699998)",Meridian School,4629 Sunnyside Ave N  Ste 242,206.632.7154,www.meridianschool.edu,K-5,Seattle,98103
23,"(47.68699883700003, -122.30013291199998)",University Preparatory,8000 25th Ave NE,206.525.2714,www.universityprep.org,6-12,Seattle,98115_4600
24,"(47.56503750600007, -122.38454732599996)",Seattle Lutheran High School,4100 SW Genesee St,206.937.7722,www.seattlelutheran.org,9-12,Seattle,98116_4216
25,"(47.61806725100007, -122.28675729799994)",Epiphany School,3611 E Denny Way,206.323.9011,www.epiphanyschool.org,P-5,Seattle,98122_3423
26,"(47.53283766000004, -122.37492741399996)",Westside School,7740 34th Ave SW,206.932.2511,www.westsideschool.org,P-8,Seattle,98126_3503
27,"(47.66567842400008, -122.31368391399997)",Academy for Precision Learning ,5031 University Way NE     ,206.427.0115,www.aplschool.org,K-10,Seattle,98105_4341
