the_geom,ADDRESS,NAME,DIVISION,TRACK,OVERLAPPIN,E_SURFACE,E_LIGHTS,PMAID,LOCID,AMWO_ID,RES1,RES2
POINT (-122.29541428116494 47.576761033398434),3013 S Mt Baker Blvd,Franklin HS,SSD,1,Y,Synthetic,No,,,,,
POINT (-122.29345154595929 47.70896175799827),11051 34th Ave NE,Jane Addams,SSD,1,Y,Synthetic,Yes,,,,,
POINT (-122.3416118198449 47.66970572000668),550 Phiney Ave N,Woodland Park - Field 7,North,1,N,Synthetic,Yes,292,,,,
POINT (-122.31558010418237 47.5520865432037),5511 15th Ave S,Cleveland Playfield,South,1,N,Grass,No,404,,,,
POINT (-122.37415252022458 47.56307498209784),4432 35th Ave Sw,West Seattle Stadium,South,1,N,Grass,Yes,472,,,,
POINT (-122.3005338292536 47.60509440838338),400 23rd Ave,Garfield HS,SSD,1,N,Synthetic,No,,,,,
POINT (-122.30925315518445 47.642061006199505),1618 E Calhoun St,Montlake Playfield,Central,1,Y,Grass,No,376,,,,
POINT (-122.26820901887295 47.52542071596304),8815 Seward Park Ave S,Rainier Beach HS,SSD,1,Y,Synthetic,Yes,,,,,
POINT (-122.35952676016367 47.64548704132414),2806 3rd Ave W,Queen Anne Bowl Playfield,Central,1,Y,Synthetic,No,3984,,,,
POINT (-122.3676623700913 47.52645850812632),8402 30th Ave SW,Denny MS / Sealth HS,SSD,1,Y,Synthetic and Grass,Yes,,,,,
POINT (-122.38052709247597 47.67818334871051),1810 NW 65th St,Salmon Bay,SSD,1,N,Synthetic,No,,,,,
POINT (-122.37318893945535 47.67694878924146),1418 NW 65th St,Ballard HS,SSD,1,Y,Synthetic,No,,,,,
POINT (-122.33754020334781 47.723876247090864),1819 N 135th St,Ingraham HS,SSD,1,Y,Synthetic,Yes,,,,,
POINT (-122.3406189105095 47.6676728582883),550 Phiney Ave N,Woodland Park,North,1,N,Synthetic and Grass,Yes,292,,,,
POINT (-122.37997886315077 47.697451044636274),9201 15th Ave NW,Whitman MS,SSD,1,N,Synthetic,No,,,,,
POINT (-122.2921471484626 47.70784683575375),10750 30th NE,Nathan Hale Stadium,SSD,1,Y,Synthetic,Yes,,,,,
